ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2024
20_503_5336_15_1,Scope 3,Waste disposal,Electrical items,WEEE - small,,Re-use,tonnes,kg CO2e,
20_503_5337_15_1,Scope 3,Waste disposal,Electrical items,WEEE - small,,Open-loop,tonnes,kg CO2e,6.41061
20_503_5338_15_1,Scope 3,Waste disposal,Electrical items,WEEE - small,,Closed-loop,tonnes,kg CO2e,
20_503_5339_15_1,Scope 3,Waste disposal,Electrical items,WEEE - small,,Combustion,tonnes,kg CO2e,6.41061
20_503_5340_15_1,Scope 3,Waste disposal,Electrical items,WEEE - small,,Composting,tonnes,kg CO2e,
20_503_5341_15_1,Scope 3,Waste disposal,Electrical items,WEEE - small,,Landfill,tonnes,kg CO2e,8.88386
20_503_5342_15_1,Scope 3,Waste disposal,Electrical items,WEEE - small,,Anaerobic digestion,tonnes,kg CO2e,
20_503_5343_15_1,Scope 3,Waste disposal,Electrical items,Batteries,,Re-use,tonnes,kg CO2e,
20_503_5344_15_1,Scope 3,Waste disposal,Electrical items,Batteries,,Open-loop,tonnes,kg CO2e,6.41061
20_503_5345_15_1,Scope 3,Waste disposal,Electrical items,Batteries,,Closed-loop,tonnes,kg CO2e,
20_503_5346_15_1,Scope 3,Waste disposal,Electrical items,Batteries,,Combustion,tonnes,kg CO2e,
20_503_5347_15_1,Scope 3,Waste disposal,Electrical items,Batteries,,Composting,tonnes,kg CO2e,
20_503_5348_15_1,Scope 3,Waste disposal,Electrical items,Batteries,,Landfill,tonnes,kg CO2e,8.88386
20_503_5349_15_1,Scope 3,Waste disposal,Electrical items,Batteries,,Anaerobic digestion,tonnes,kg CO2e,
20_504_5350_15_1,Scope 3,Waste disposal,Metal,Metal: aluminium cans and foil (excl. forming),,Re-use,tonnes,kg CO2e,
20_504_5351_15_1,Scope 3,Waste disposal,Metal,Metal: aluminium cans and foil (excl. forming),,Open-loop,tonnes,kg CO2e,6.41061
20_504_5352_15_1,Scope 3,Waste disposal,Metal,Metal: aluminium cans and foil (excl. forming),,Closed-loop,tonnes,kg CO2e,6.41061
20_504_5353_15_1,Scope 3,Waste disposal,Metal,Metal: aluminium cans and foil (excl. forming),,Combustion,tonnes,kg CO2e,6.41061
20_504_5354_15_1,Scope 3,Waste disposal,Metal,Metal: aluminium cans and foil (excl. forming),,Composting,tonnes,kg CO2e,
20_504_5355_15_1,Scope 3,Waste disposal,Metal,Metal: aluminium cans and foil (excl. forming),,Landfill,tonnes,kg CO2e,8.88386
20_504_5356_15_1,Scope 3,Waste disposal,Metal,Metal: aluminium cans and foil (excl. forming),,Anaerobic digestion,tonnes,kg CO2e,
20_504_5357_15_1,Scope 3,Waste disposal,Metal,Metal: mixed cans,,Re-use,tonnes,kg CO2e,
20_504_5358_15_1,Scope 3,Waste disposal,Metal,Metal: mixed cans,,Open-loop,tonnes,kg CO2e,6.41061
20_504_5359_15_1,Scope 3,Waste disposal,Metal,Metal: mixed cans,,Closed-loop,tonnes,kg CO2e,6.41061
20_504_5360_15_1,Scope 3,Waste disposal,Metal,Metal: mixed cans,,Combustion,tonnes,kg CO2e,6.41061
20_504_5361_15_1,Scope 3,Waste disposal,Metal,Metal: mixed cans,,Composting,tonnes,kg CO2e,
20_504_5362_15_1,Scope 3,Waste disposal,Metal,Metal: mixed cans,,Landfill,tonnes,kg CO2e,8.88386
20_504_5363_15_1,Scope 3,Waste disposal,Metal,Metal: mixed cans,,Anaerobic digestion,tonnes,kg CO2e,
20_504_5364_15_1,Scope 3,Waste disposal,Metal,Metal: scrap metal,,Re-use,tonnes,kg CO2e,
20_504_5365_15_1,Scope 3,Waste disposal,Metal,Metal: scrap metal,,Open-loop,tonnes,kg CO2e,6.41061
20_504_5366_15_1,Scope 3,Waste disposal,Metal,Metal: scrap metal,,Closed-loop,tonnes,kg CO2e,6.41061
20_504_5367_15_1,Scope 3,Waste disposal,Metal,Metal: scrap metal,,Combustion,tonnes,kg CO2e,6.41061
20_504_5368_15_1,Scope 3,Waste disposal,Metal,Metal: scrap metal,,Composting,tonnes,kg CO2e,
20_504_5369_15_1,Scope 3,Waste disposal,Metal,Metal: scrap metal,,Landfill,tonnes,kg CO2e,8.88386
20_504_5370_15_1,Scope 3,Waste disposal,Metal,Metal: scrap metal,,Anaerobic digestion,tonnes,kg CO2e,
20_504_5371_15_1,Scope 3,Waste disposal,Metal,Metal: steel cans,,Re-use,tonnes,kg CO2e,
20_504_5372_15_1,Scope 3,Waste disposal,Metal,Metal: steel cans,,Open-loop,tonnes,kg CO2e,6.41061
20_504_5373_15_1,Scope 3,Waste disposal,Metal,Metal: steel cans,,Closed-loop,tonnes,kg CO2e,6.41061
20_504_5374_15_1,Scope 3,Waste disposal,Metal,Metal: steel cans,,Combustion,tonnes,kg CO2e,6.41061
