ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2024
5_303_3101_4_4,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.00000
5_303_3095_9_1,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Diesel,miles,kg CO2e,0.44042
5_303_3095_9_2,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Diesel,miles,kg CO2e of CO2 per unit,0.43774
5_303_3095_9_3,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Diesel,miles,kg CO2e of CH4 per unit,0.00001
5_303_3095_9_4,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Diesel,miles,kg CO2e of N2O per unit,0.00267
5_303_3096_9_1,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Petrol,miles,kg CO2e,0.56201
5_303_3096_9_2,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Petrol,miles,kg CO2e of CO2 per unit,0.56088
5_303_3096_9_3,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Petrol,miles,kg CO2e of CH4 per unit,0.00043
5_303_3096_9_4,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Petrol,miles,kg CO2e of N2O per unit,0.00070
5_303_3097_9_1,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,CNG,miles,kg CO2e,
5_303_3097_9_2,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,CNG,miles,kg CO2e of CO2 per unit,
5_303_3097_9_3,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,CNG,miles,kg CO2e of CH4 per unit,
5_303_3097_9_4,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,CNG,miles,kg CO2e of N2O per unit,
5_303_3098_9_1,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,LPG,miles,kg CO2e,
5_303_3098_9_2,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,LPG,miles,kg CO2e of CO2 per unit,
5_303_3098_9_3,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,LPG,miles,kg CO2e of CH4 per unit,
5_303_3098_9_4,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,LPG,miles,kg CO2e of N2O per unit,
5_303_3099_9_1,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Unknown,miles,kg CO2e,
5_303_3099_9_2,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Unknown,miles,kg CO2e of CO2 per unit,
5_303_3099_9_3,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Unknown,miles,kg CO2e of CH4 per unit,
5_303_3099_9_4,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Unknown,miles,kg CO2e of N2O per unit,
5_303_3100_9_1,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.21391
5_303_3100_9_2,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.21101
5_303_3100_9_3,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00002
5_303_3100_9_4,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,0.00288
5_303_3101_9_1,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,miles,kg CO2e,0.00000
5_303_3101_9_2,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00000
5_303_3101_9_3,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00000
5_303_3101_9_4,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,miles,kg CO2e of N2O per unit,0.00000
5_303_3102_4_1,Scope 1,Delivery vehicles,Vans,Average (up to 3.5 tonnes),,Diesel,km,kg CO2e,0.25023
5_303_3102_4_2,Scope 1,Delivery vehicles,Vans,Average (up to 3.5 tonnes),,Diesel,km,kg CO2e of CO2 per unit,0.24858
5_303_3102_4_3,Scope 1,Delivery vehicles,Vans,Average (up to 3.5 tonnes),,Diesel,km,kg CO2e of CH4 per unit,0.000005
5_303_3102_4_4,Scope 1,Delivery vehicles,Vans,Average (up to 3.5 tonnes),,Diesel,km,kg CO2e of N2O per unit,0.00165
5_303_3103_4_1,Scope 1,Delivery vehicles,Vans,Average (up to 3.5 tonnes),,Petrol,km,kg CO2e,0.22095
5_303_3103_4_2,Scope 1,Delivery vehicles,Vans,Average (up to 3.5 tonnes),,Petrol,km,kg CO2e of CO2 per unit,0.22024
5_303_3103_4_3,Scope 1,Delivery vehicles,Vans,Average (up to 3.5 tonnes),,Petrol,km,kg CO2e of CH4 per unit,0.00027
5_303_3103_4_4,Scope 1,Delivery vehicles,Vans,Average (up to 3.5 tonnes),,Petrol,km,kg CO2e of N2O per unit,0.00044
5_303_3104_4_1,Scope 1,Delivery vehicles,Vans,Average (up to 3.5 tonnes),,CNG,km,kg CO2e,0.25120
5_303_3104_4_2,Scope 1,Delivery vehicles,Vans,Average (up to 3.5 tonnes),,CNG,km,kg CO2e of CO2 per unit,0.24938
5_303_3104_4_3,Scope 1,Delivery vehicles,Vans,Average (up to 3.5 tonnes),,CNG,km,kg CO2e of CH4 per unit,0.00132
5_303_3104_4_4,Scope 1,Delivery vehicles,Vans,Average (up to 3.5 tonnes),,CNG,km,kg CO2e of N2O per unit,0.00050
5_303_3105_4_1,Scope 1,Delivery vehicles,Vans,Average (up to 3.5 tonnes),,LPG,km,kg CO2e,0.27617
5_303_3105_4_2,Scope 1,Delivery vehicles,Vans,Average (up to 3.5 tonnes),,LPG,km,kg CO2e of CO2 per unit,0.27563
5_303_3105_4_3,Scope 1,Delivery vehicles,Vans,Average (up to 3.5 tonnes),,LPG,km,kg CO2e of CH4 per unit,0.00004
5_303_3105_4_4,Scope 1,Delivery vehicles,Vans,Average (up to 3.5 tonnes),,LPG,km,kg CO2e of N2O per unit,0.00050
